verb;preteritSingular;preteritPlural;pastParticiple;translate;family;codeFamily
to arise;arose;arose;arisen;s'élever;PP En;1
to be;was;were;been;être;Absolutely;2
to bear;bore;bore;born;supporter;Ear/Ore/Orn;3
to beat;beat;beat;beaten;battre;PP En;1
to become;became;became;become;devenir;PRES=PP;4
to begin;began;began;begun;commencer;I-A-U;5
to bend;bent;bent;bent;courber;Tea;6
to bet;bet;bet;bet;parier;no-change;7
to bind;bound;bound;bound;lier;P=PP;8
to bite;bit;bit;bitten;mordre;PP En;1
to bleed;bled;bled;bled;saigner;/I:/=>/e/;9
to blend;blent;blent;blent;mélanger;Tea;6
to blow;blew;blew;blown;souffler;Ew=>Awn/Own;10
to break;broke;broke;broken;casser;PP En;1
to breed;bred;bred;bred;élever;/I:/=>/e/;9
to bring;brought;brought;brought;apporter;Ght;11
to build;built;built;built;construire;Tea;6
to burn;burnt;burnt;burnt;brûler;Tea;6
to burst;burst;burst;burst;éclater;no-change;7
to buy;bought;bought;bought;acheter;Ght;11
to cast;cast;cast;cast;lancer;no-change;7
to catch;caught;caught;caught;attraper;Ght;11
to choose;chose;chose;chosen;choisir;PP En;1
to cling;clung;clung;clung;s'accrocher;P=PP;8
to come;came;came;come;venir;PRES=PP;4
to cost;cost;cost;cost;coûter;no-change;7
to creep;crept;crept;crept;ramper;/I:/=>/e/;9
to cut;cut;cut;cut;couper;no-change;7
to deal;dealt;dealt;dealt;négocier;Tea;6
to dig;dug;dug;dug;creuser;P=PP;8
to do;did;did;done;faire;Absolutely;2
to draw;drew;drew;drawn;dessiner;Ew=>Awn/Own;10
to dream;dreamt;dreamt;dreamt;rêver;/I:/=>/e/;9
to drink;drank;drank;drunk;boire;I-A-U;5
to drive;drove;drove;driven;conduire;PP En;1
to eat;ate;ate;eaten;manger;PP En;1
to fall;fell;fell;fallen;tomber;PP En;1
to feed;fed;fed;fed;(se) nourrir;/I:/=>/e/;9
to feel;felt;felt;felt;(se) sentir;/I:/=>/e/;9
to fight;fought;fought;fought;se battre;Ght;11
to find;found;found;found;trouver;P=PP;8
to flee;fled;fled;fled;fuir;/I:/=>/e/;9
to fling;flung;flung;flung;jeter;P=PP;8
to fly;flew;flew;flown;voler (ailes);Ew=>Awn/Own;10
to forbid;forbade;forbade;forbidden;interdire;PP En;1
to forget;forgot;forgot;forgotten;oublier;PP En;1
to forgive;forgave;forgave;forgiven;pardonner;PP En;1
to freeze;froze;froze;frozen;geler;PP En;1
to get;got;got;got;obtenir;Absolutely;2
to give;gave;gave;given;donner;PP En;1
to go;went;went;gone;aller;Absolutely;2
to grind;ground;ground;ground;moudre;P=PP;8
to grow;grew;grew;grown;croître;Ew=>Awn/Own;10
to hang;hung;hung;hung;pendre;P=PP;8
to have;had;had;had;avoir;Absolutely;2
to hear;heard;heard;heard;entendre;P=PP;8
to hide;hid;hid;hidden;cacher;PP En;1
to hit;hit;hit;hit;frapper;no-change;7
to hold;held;held;held;tenir;P=PP;8
to hurt;hurt;hurt;hurt;blesser;no-change;7
to keep;kept;kept;kept;garder;/I:/=>/e/;9
to know;knew;knew;known;savoir;Ew=>Awn/Own;10
to lay;laid;laid;laid;poser;P=PP;8
to lead;led;led;led;mener;/I:/=>/e/;9
to lean;leant;leant;leant;s'appuyer;/I:/=>/e/;9
to leap;leapt;leapt;leapt;sauter;Tea;6
to learn;learnt;learnt;learnt;apprendre;Tea;6
to leave;left;left;left;laisser;/I:/=>/e/;9
to lend;lent;lent;lent;prêter;Tea;6
to let;let;let;let;laisser;no-change;7
to lie;lay;lay;lain;être couché;unknown;12
to light;lit;lit;lit;allumer;P=PP;8
to lose;lost;lost;lost;perdre;Tea;6
to make;made;made;made;fabriquer;Absolutely;2
to mean;meant;meant;meant;signifier;/I:/=>/e/;9
to meet;met;met;met;rencontrer;/I:/=>/e/;9
to mistake;mistook;mistook;mistaken;faire erreur;PP En;1
to overcome;overcame;overcame;overcome;Vaincre, surmonter;PRES=PP;4
to pay;paid;paid;paid;payer;P=PP;8
to put;put;put;put;poser;no-change;7
to quit;Quit;Quit;Quit;Quitter;no-change;7
to read;read;read;read;lire;no-change;7
to ride;rode;rode;ridden;chevaucher;PP En;1
to ring;rang;rang;rung;sonner;I-A-U;5
to rise;rose;rose;risen;se lever;PP En;1
to run;ran;ran;run;courir;PRES=PP;4
to saw;sawed;sawed;sawn;scier;unknown;12
to say;said;said;said;dire;P=PP;8
to see;saw;saw;seen;voir;unknown;12
to seek;sought;sought;sought;chercher;Ght;11
to sell;sold;sold;sold;vendre;P=PP;8
to send;sent;sent;sent;envoyer;Tea;6
to set;set;set;set;fixer;no-change;7
to sew;sewed;sewed;sewn;coudre;unknown;12
to shake;shook;shook;shaken;secouer;PP En;1
to shed;shed;shed;shed;verser;no-change;7
to shine;shone;shone;shone;briller;P=PP;8
to shoot;shot;shot;shot;tirer;Tea;6
to show;showed;showed;shown;montrer;unknown;12
to shrink;shrank;shrank;shrunk;(se) rétrécir;I-A-U;5
to shut;shut;shut;shut;fermer;no-change;7
to sing;sang;sang;sung;chanter;I-A-U;5
to sink;sank;sank;sunk;sombrer;I-A-U;5
to sit;sat;sat;sat;être assis;Tea;6
to sleep;slept;slept;slept;dormir;/I:/=>/e/;9
to slide;slid;slid;slid;glisser;P=PP;8
to smell;smelt;smelt;smelt;sentir;Tea;6
to speak;spoke;spoke;spoken;parler;PP En;1
to speed;sped;sped;sped;(se) hâter;/I:/=>/e/;9
to spell;spelt;spelt;spelt;épeler;Tea;6
to spend;spent;spent;spent;dépenser;Tea;6
to spill;spilt;spilt;spilt;renverser;Tea;6
to spit;spat;spat;spat;cracher;P=PP;8
to split;split;split;split;(se) fendre;no-change;7
to spoil;spoilt;spoilt;spoilt;gâter;Tea;6
to spread;spread;spread;spread;(s') étendre;no-change;7
to spring;sprang;sprang;sprung;bondir;I-A-U;5
to stand;stood;stood;stood;être debout;P=PP;8
to steal;stole;stole;stolen;dérober;PP En;1
to stick;stuck;stuck;stuck;coller;P=PP;8
to sting;stung;stung;stung;piquer;P=PP;8
to stink;stank;stank;stunk;puer;I-A-U;5
to strike;struck;struck;struck;frapper;P=PP;8
to strive;strove;strove;striven;s'efforcer;unknown;12
to swear;swore;swore;sworn;jurer;Ear/Ore/Orn;3
to sweep;swept;swept;swept;balayer;/I:/=>/e/;9
to swim;swam;swam;swum;nager;I-A-U;5
to swing;swung;swung;swung;balancer;P=PP;8
to take;took;took;taken;prendre;PP En;1
to teach;taught;taught;taught;enseigner;Ght;11
to tear;tore;tore;torn;déchirer;Ear/Ore/Orn;3
to tell;told;told;told;dire;P=PP;8
to think;thought;thought;thought;penser;Ght;11
to thrive;throve;throve;thriven;prospérer;PP En;1
to throw;threw;threw;thrown;jeter;Ew=>Awn/Own;10
to thrust;thrust;thrust;thrust;enfoncer;no-change;7
to tread;trod;trod;trodden;fouler;PP En;1
to understand;understood;understood;understood;comprendre;P=PP;8
to upset;upset;upset;upset;renverser;no-change;7
to wake;woke;woke;woken;éveiller;PP En;1
to wear;wore;wore;worn;porter (vêt.);Ear/Ore/Orn;3
to weave;wove;wove;woven;tisser;PP En;1
to weep;wept;wept;wept;pleurer;/I:/=>/e/;9
to win;won;won;won;gagner;P=PP;8
to write;wrote;wrote;written;écrire;PP En;1
